District,Start Location,Destination,Vehicle,Description,Fare
3,Balete,Tanauan City,Jeepney,Balete to Tanauan City,27.00
3,Tanauan City,Grand Terminal,Bus,Tanauan City to Grand Terminal,120.00
3,Grand Terminal,BSU,Jeepney,Grand Terminal to BSU,13.00
3,BSU,Grand Terminal,Jeepney,BSU to Grand Terminal,13.00
3,Grand Terminal,Tanauan City,Bus,Grand Terminal to Tanauan City,120.00
3,Tanauan City,Balete,Jeepney,Tanauan City to Balete,27.00
3,Cuenca,Lipa City,Jeepney,Cuenca to Lipa City,27.00
3,Lipa City,Batangas City,Jeepney,Lipa City to Batangas City,42.00
3,Batangas City,BSU,Jeepney,Batangas City to BSU,13.00
3,BSU,Batangas City,Jeepney,BSU to Batangas City,13.00
3,Batangas City,Lipa City,Jeepney,Batangas City to Lipa City,42.00
3,Lipa City,Cuenca,Jeepney,Lipa City to Cuenca,27.00
3,Laurel,Lemery,Jeepney,Laurel to Lemery,66.00
3,Lemery,Batangas City,Bus,Lemery to Batangas City,60.00
3,Batangas City,BSU,Jeepney,Batangas City to BSU,13.00
3,BSU,Batangas City,Jeepney,BSU to Batangas City,13.00
3,Batangas City,Lemery,Bus,Batangas City to Lemery,60.00
3,Lemery,Laurel,Jeepney,Lemery to Laurel,66.00
3,Talisay,Tanauan City,Jeepney,Talisay to Tanauan City,27.00
3,Tanauan City,Grand Terminal,Bus,Tanauan City to Grand Terminal,120.00
3,Grand Terminal,BSU,Jeepney,Grand Terminal to BSU,13.00
3,BSU,Grand Terminal,Jeepney,BSU to Grand Terminal,13.00
3,Grand Terminal,Tanauan City,Bus,Grand Terminal to Tanauan City,120.00
3,Tanauan City,Talisay,Jeepney,Tanauan City to Talisay,27.00
3,Malvar,Lipa City,Bus,Malvar to Lipa City,20.00
3,Lipa City,Batangas City,Jeepney,Lipa City to Batangas City,42.00
3,Batangas City,BSU,Jeepney,Batangas City to BSU,13.00
3,BSU,Batangas City,Jeepney,BSU to Batangas City,13.00
3,Batangas City,Lipa City,Jeepney,Batangas City to Lipa City,42.00
3,Lipa City,Malvar,Bus,Lipa City to Malvar,20.00
